kelime;anlam;lowercase;tokens;lemmas;stemmed
Yalak;Çukur;çukur;çukur;çukur;çukur
Yalık;Eşarp;eşarp;eşarp;eşarp;eşarp
Yanaz;Aksi;aksi;aksi;aksi;aksi
Yanaz;Alan dışı, taç.;alan dışı taç;alan dışı taç;alan dışı taç;alan dış taç
Yannık;Deri yayık,tulum;deri yayık tulum;deri tulum yayık;deri tulum yayık;der tul yayık
Yanza;Aksi;aksi;aksi;aksi;aksi
Yapık;Kirli saç;kirli saç;kirli saç;kirli saç;kirl saç
Yarpız;Naneyi andıran bir ot;andıran naneyi ot bir;andıran bir naneyi ot;andıran bir naneyi ot;andıran bir nane ot
Yartnak;Ağaç Kabuğu;ağaç kabuğu;ağaç kabuğu;ağaç kabuğu;ağaç kabuk
Yasyalbırdak;Üzerine giyecek bir şeyi kalmamış.;şeyi giyecek üzerine bir kalmamış;bir giyecek kalmamış üzerine şeyi;bir giyecek kalmamış üzerine şeyi;bir giyecek kalm üzer şey
Yasyapıldak;Bir başına kalmak.;başına bir kalmak;başına bir kalmak;başına bir kalmak;baş bir kalmak
Yavan;Yağsız;yağsız;yağsız;yağsız;yağs
Yavsı;Sinek;sinek;sinek;sinek;sinek
Yazı;Ova, düz alan.;ova alan düz;alan düz ova;alan düz ovum;alan düz ov
Yazı;Tarla ova;ova tarla;ova tarla;ovum tarla;ov tarla
Yazlak;Köyün içinde yazın serin olsun diye çıkılan kısmen yüksek yer.;serin içinde çıkılan olsun kısmen yüksek köyün yazın diye yer;içinde köyün kısmen olsun serin yazın yer yüksek çıkılan;içinde köyün kısmen olsun serin yazın yer yüksek çıkılan;iç köy kısmen ols ser yaz yer yük çıkılan
Yeğni;Hafif;hafif;hafif;hafif;hafif
Yekinmek;Kalkmak;kalkmak;kalkmak;kalkmak;kalkmak
Yelyepelek;Telaşlı bir şekilde.;şekilde bir telaşlı;bir telaşlı şekilde;bir telaşlı şekilde;bir telaş şekil
Yetmek;: Olgunlaşmak;olgunlaşmak;olgunlaşmak;olgunlaşmak;olgunlaşmak
Yılgın;Bıkkın;bıkkın;bıkkın;bıkkın;bıkk
Yırak;Uzak;uzak;uzak;uzak;uzak
Yiyen;Yeğen;yeğen;yeğen;yeğen;yeğen
Yonga;Odun kesilirken oluşan kırıntı.;kesilirken oluşan odun kırıntı;kesilirken kırıntı odun oluşan;kesilirken kırıntı odun oluşan;kesilir kır odun oluşan
Yosa;Yoksa;yoksa;yoksa;yoksa;yoks
Yörep;Akabe arazi;akabe arazi;akabe arazi;akabe arazi;akabe arazi
Yumuş buyurmak;Birisinden bir şey yapmasını istemek, buyurmak;buyurmak istemek şey yapmasını birisinden bir;bir birisinden buyurmak istemek yapmasını;bir birisinden buyurmak istemek yapmasını;bir biri buyurmak istemek yapma
Yumuş;İş;i̇ş;i̇ş;i̇ş;i̇ş
Yunak;Yıkama yeri;yeri yıkama;yeri yıkama;yeri yıkama;yer yıka
Yüklük;Yatak konulan yüksekçe raf;konulan yüksekçe raf yatak;konulan raf yatak yüksekçe;konulan raf yatak yüksekçe;konulan raf yatak yüksekç
