kelime;anlam;lowercase;tokens;lemmas;stemmed
Puta;Başa örtülen çarşaf;çarşaf başa örtülen;başa çarşaf örtülen;başa çarşaf örtülen;baş çarşaf örtülen
Püsürgeç;Sac ekmeğini pişirirken çevirmeye yarayan alet;ekmeğini sac alet yarayan pişirirken çevirmeye;alet ekmeğini pişirirken sac yarayan çevirmeye;alet ekmeğini pişirirken sac yarayan çevirmeye;alet ekmek pişirir sac yarayan çevirme
Reçber;Çiftçi;çiftçi;çiftçi;çiftçi;çiftç
Sacayak;Ocakta üzerine kap konulan üçayaklı demir eşya;konulan kap ocakta demir üçayaklı eşya üzerine;demir eşya kap konulan ocakta üzerine üçayaklı;demir eşya kap konulan ocakta üzerine üçayaklı;demir eşya kap konulan ocak üzer üçayak
Sadır;At ve eşek sidiği;ve eşek sidiği at;eşek sidiği;eşek sidiği;eşek sidik
Saku;Ceket;ceket;ceket;ceket;ceket
Salakana;Başıboş gezen sahipsiz köpek;başıboş sahipsiz gezen köpek;başıboş gezen köpek sahipsiz;başıboş gezen köpek sahipsiz;başıboş gezen köpek sahips
Samaruk;Turp gibi sebzelerin içinin boş olması;olması gibi boş içinin turp sebzelerin;boş içinin olması sebzelerin turp;boş içinin olması sebzelerin turp;boş iç olma sebze turp
Samsa;Büyük tatlı ve börek dilimi;tatlı ve büyük börek dilimi;börek büyük dilimi tatlı;börek büyük dilimi tatlı;börek büyük dil tatl
Savak;Değirmen oluğu;değirmen oluğu;değirmen oluğu;değirmen oluğu;değirmen oluk
Sef;Yanlış;yanlış;yanlış;yanlış;yanlış
Seğirtmek;Koşmak;koşmak;koşmak;koşmak;koşmak
Seğrilce;At ve eşek sineği;ve eşek sineği at;eşek sineği;eşek sineği;eşek sinek
Seme;Kendinde olmayan;kendinde olmayan;kendinde olmayan;kendinde olmayan;kent olmayan
Seten;Bulgur dövülen büyük değirmen taşı;taşı büyük bulgur dövülen değirmen;bulgur büyük değirmen dövülen taşı;bulgur büyük değirmen dövülen taşı;bulgur büyük değirmen dövülen taş
Seyis;Kısırlaştırılmış erkek keçi;kısırlaştırılmış erkek keçi;erkek keçi kısırlaştırılmış;erkek keçi kısırlaştırılmış;erkek keç kısırlaştırıl
Sığırtmaç;Köy sığır çobanı;köy çobanı sığır;köy sığır çobanı;köy sığır çobanı;köy sığır çoban
Sıracalı;Bulaşık, belalı;belalı bulaşık;belalı bulaşık;belalı bulaşık;bela bulaşık
Singil;Beleşçi, yancı;beleşçi yancı;beleşçi yancı;beleşçi yancı;beleşç yanç
Sirke;Bit yumurtası;bit yumurtası;bit yumurtası;bit yumurtası;bit yumurta
Sitil;Küçük bakraç;küçük bakraç;bakraç küçük;bakraç küçük;bakraç küçük
Sivrik;Ekinin yeni bitmiş hali;hali yeni ekinin bitmiş;bitmiş ekinin hali yeni;bitmiş ekinin hali yeni;bit ekin hali yen
Soğukluk;Semiz otu;otu semiz;otu semiz;otu semiz;ot sem
Soğutmaz;Termos;termos;termos;termos;termos
Soku;Bulgur dövülen içi çukur taş;çukur içi bulgur dövülen taş;bulgur dövülen içi taş çukur;bulgur dövülen içi taş çukur;bulgur dövülen iç taş çukur
Soluğan;At ve eşeğin iyi nefes alamaması;ve alamaması eşeğin nefes iyi at;alamaması eşeğin iyi nefes;alamaması eşeğin iyi nefes;alamama eşek iyi nefes
Som;Ekinin saman ve dane karışımı;ve saman ekinin karışımı dane;dane ekinin karışımı saman;dane ekinin karışımı saman;dane ekin karış saman
Somak;Tanesi alınmış mısır koçanı;tanesi mısır koçanı alınmış;alınmış koçanı mısır tanesi;alınmış koçanı mısır tanesi;al koçan mısır tane
Sot;Topaç;topaç;topaç;topaç;topaç
Suğlu;Çevirme yapılırken kaz ve kuzunun ortasına takılan demir veya ağaç sopa;ve veya sopa ortasına demir kaz takılan yapılırken ağaç kuzunun çevirme;ağaç demir kaz kuzunun ortasına sopa takılan yapılırken çevirme;ağaç demir kaz kuzunun ortasına sopa takılan yapılırken çevirme;ağaç demir kaz kuzu orta sop takılan yapılırken çevir
Süngüt;Semaver ve demlik de oluşan kireç;ve kireç demlik oluşan de semaver;demlik kireç oluşan semaver;demlik kireç oluşan semaver;demlik kireç oluşan semaver
Sürgüç;Bulaşık bezi;bezi bulaşık;bezi bulaşık;bezi bulaşık;bez bulaşık
Sütlü;Sütlaç;sütlaç;sütlaç;sütlaç;sütlaç
Şakşak;Kapı tokmağı;tokmağı kapı;kapı tokmağı;kapı tokmağı;kap tokmak
Şallak;Donsuz;donsuz;donsuz;donsuz;dons
Şerefiye;Patlıcan oturtması;patlıcan oturtması;oturtması patlıcan;oturtması patlıcan;oturtma patlıcan
Şibi;Kaz ve ördek yavrusu;ve ördek yavrusu kaz;kaz yavrusu ördek;kaz yavrusu ördek;kaz yavru ördek
Şirnimek;Şımarmak;şımarmak;şımarmak;şımarmak;şımarmak
Şişek;Bir yaşındaki dişi koyun;yaşındaki bir dişi koyun;bir dişi koyun yaşındaki;bir dişi koyun yaşındaki;bir diş koy yaş
Şişük;Şımarık;şımarık;şımarık;şımarık;şımarık
Şoşalak;Şaşırmış ne yaptığını bilmeyen;yaptığını ne şaşırmış bilmeyen;bilmeyen yaptığını şaşırmış;bilmeyen yaptığını şaşırmış;bilmeyen yaptık şaşır
Taslama;Övünme;övünme;övünme;övünme;övün
Tazı;Uzun bacaklı tavşan avcısı bir köpek türü;tavşan türü köpek uzun bacaklı avcısı bir;avcısı bacaklı bir köpek tavşan türü uzun;avcısı bacaklı bir köpek tavşan türü uzun;avcı bacak bir köpek tavşan tür uzun
Tebelleş;Sürekli sataşma;sürekli sataşma;sataşma sürekli;sataşma sürekli;sataş sürek
Temgeç;Semaverde demliğin konulduğu yer;konulduğu semaverde demliğin yer;demliğin konulduğu semaverde yer;demliğin konulduğu semaverde yer;demlik konulduk semaver yer
Temşüt;Sahur;sahur;sahur;sahur;sahur
Terece;Raf, sergen;sergen raf;raf sergen;raf sergen;raf sergen
Terki;Ata iki kişi binince ikinci kişinin oturduğu yer;kişi iki ata kişinin yer oturduğu ikinci binince;ata binince iki ikinci kişi kişinin oturduğu yer;ata binince iki ikinci kişi kişinin oturduğu yer;a bini ik ikinç kiş kişi oturduk yer
Tevek;Sarmalık üzüm yaprağı;üzüm sarmalık yaprağı;sarmalık yaprağı üzüm;sarmalık yaprağı üzüm;sarmalık yaprak üz
Tınaz;Ekin yığını;yığını ekin;ekin yığını;ekin yığını;ek yık
Tapan;Arazi düzleme ve tohum kapatmada kullanılan alet;arazi ve düzleme alet kapatmada kullanılan tohum;alet arazi düzleme kapatmada kullanılan tohum;alet arazi düzleme kapatmada kullanılan tohum;alet arazi düzle kapatma kullanılan toh
Tınık;Genizden konuşan;genizden konuşan;genizden konuşan;genizden konuşan;geniz konuşan
Tırıl;Sinirli kişi;kişi sinirli;kişi sinirli;kişi sinirli;kiş sinir
Tırpan;Ekin ve ot biçmeye yarayan ağzı ve uzun alet;ekin ve ot alet yarayan ağzı uzun biçmeye;alet ağzı biçmeye ekin ot uzun yarayan;alet ağzı biçmeye ekin ot uzun yarayan;alet ağz biçme ek ot uzun yarayan
Tıylak;Tay;tay;tay;tay;tay
Tinkos;Alıngan, çabuk küsen;küsen çabuk alıngan;alıngan küsen çabuk;alıngan küsen çabuk;alıngan kü çabuk
Tohna;Şişman kısa boylu;kısa şişman boylu;boylu kısa şişman;boylu kısa şişman;boyl kıs şişman
Tokaç;Çamaşır yıkama sopası;yıkama çamaşır sopası;sopası yıkama çamaşır;sopası yıkama çamaşır;sopa yıka çamaşır
Toklu;Yaşına değmemiş erkek kuzu;yaşına kuzu erkek değmemiş;değmemiş erkek kuzu yaşına;değmemiş erkek kuzu yaşına;değm erkek kuz yaş
Toktok;İnce bulgurdan yapılmış pilav;pilav i̇nce yapılmış bulgurdan;bulgurdan i̇nce pilav yapılmış;bulgurdan i̇nce pilav yapılmış;bulgur i̇nce pilav yapıl
Tök Tök;Hindi;hindi;hindi;hindi;hint
Tufa;Çene;çene;çene;çene;çen
Tumman;Uzun don;don uzun;uzun;uzun;uzun
Tüğül;Sapları birbirine bağlanmış meyve demeti;sapları demeti meyve birbirine bağlanmış;bağlanmış birbirine demeti meyve sapları;bağlanmış birbirine demeti meyve sapları;bağlan birbir deme meyv sap
Uğra;Ekmek yaparken hamur yapışmasın diye kullanılan un;yapışmasın hamur yaparken ekmek kullanılan diye un;ekmek hamur kullanılan un yaparken yapışmasın;ekmek hamur kullanılan un yaparken yapışmasın;ekmek hamur kullanılan un yaparken yapış
Uğut;Buğdaydan yapılan tatlı;tatlı buğdaydan yapılan;buğdaydan tatlı yapılan;buğdaydan tatlı yapılan;buğday tatl yapılan
Ulaşık;Nişanlı;nişanlı;nişanlı;nişanlı;nişan
Urba;Elbise, giysi;elbise giysi;elbise giysi;elbise giysi;elbise giys
Üğü;Baykuş;baykuş;baykuş;baykuş;baykuş
Üleş;Leş;leş;leş;leş;leş
Üleşme;Paylaşma, taksim;paylaşma taksim;paylaşma taksim;paylaşma taksim;paylaş taksim
Ütme;Ateş de pişmiş taze mısır;mısır pişmiş ateş de taze;ateş mısır pişmiş taze;ateş mısır pişmiş taze;ateş mısır piş taze
Vizik;Güvercin yavrusu;güvercin yavrusu;güvercin yavrusu;güvercin yavrusu;güverç yavru
Yaba;Kürek şeklinde, ucu parmaklı harman aleti;kürek harman ucu şeklinde aleti parmaklı;aleti harman kürek parmaklı ucu şeklinde;aleti harman kürek parmaklı ucu şeklinde;alet harman kürek parmak uç şekl
Yağazlama;Bunama;bunama;bunama;bunama;buna
Yahni;Sulu salçalı et yemeği;sulu salçalı et yemeği;et salçalı sulu yemeği;et salçalı sulu yemeği;et salça su yemek
Yal;Hayvanlar için un ve kepek karışımı ile hazırlanan sulu yem;sulu ve kepek yem hazırlanan için ile hayvanlar karışımı un;hayvanlar hazırlanan karışımı kepek sulu un yem;hayvanlar hazırlanan karışımı kepek sulu un yem;hayvan hazırlanan karış kepek su un yem
Yanuç;Yengec;yengec;yengec;yengec;yengec
Yangabuz;Aksi kişi;aksi kişi;aksi kişi;aksi kişi;aksi kiş
Yanşama;Tekrar tekrar söyleme;tekrar söyleme tekrar;söyleme tekrar;söyleme tekrar;söyle tekrar
Yaşmak;Başörtüsü bağlama şekli;bağlama başörtüsü şekli;bağlama başörtüsü şekli;bağlama başörtüsü şekli;bağla başörtü şekl
Yavşuk;Bit yumurtası;bit yumurtası;bit yumurtası;bit yumurtası;bit yumurta
Yayık;Yoğurt ve sütten yağ çıkarmak kullanılan;ve yoğurt kullanılan sütten yağ çıkarmak;kullanılan sütten yağ yoğurt çıkarmak;kullanılan sütten yağ yoğurt çıkarmak;kullanılan süt yağ yoğurt çıkarmak
Yemişen;Trabzon hurması;trabzon hurması;hurması trabzon;hurması trabzon;hurma trabzon
Yeşilistan;Kertenkele;kertenkele;kertenkele;kertenkele;kertenke
Yıldamcı;Her yıl doğuran hayvan için söylenir;söylenir yıl için hayvan her doğuran;doğuran hayvan söylenir yıl;doğuran hayvan söylenir yıl;doğuran hayvan söylenir yıl
Yıluk;Şaşı;şaşı;şaşı;şaşı;şaş
Yoka;Yufka/İnce;yufka i̇nce;i̇nce yufka;i̇nce yufka;i̇nce yufk
Yumulak;Saklambaç oyunu;saklambaç oyunu;oyunu saklambaç;oyunu saklambaç;oyun saklambaç
Yumulmaç;Saklambaç oyunu;saklambaç oyunu;oyunu saklambaç;oyunu saklambaç;oyun saklambaç
Yunak;Çamaşırlık;çamaşırlık;çamaşırlık;çamaşırlık;çamaşırlık
Yüklü;Gebe;gebe;gebe;gebe;gep
Yüklük;Yatak konulan dolap;konulan dolap yatak;dolap konulan yatak;dolap konulan yatak;dolap konulan yatak
Zağar;Başıboş gezen sahipsiz köpek;başıboş sahipsiz gezen köpek;başıboş gezen köpek sahipsiz;başıboş gezen köpek sahipsiz;başıboş gezen köpek sahips
Zahir;Her halde;halde her;halde;halde;halde
Zahra;Yemeklik tahıl;yemeklik tahıl;tahıl yemeklik;tahıl yemeklik;tahıl yemeklik
Zarzalak;Leylak çiçeği;çiçeği leylak;leylak çiçeği;leylak çiçeği;leylak çiçek
Zavrak;Salatalık;salatalık;salatalık;salatalık;salatalık
Ansara;Sonra;sonra;sonra;sonra;sonr
Asta;Hasta;hasta;hasta;hasta;has
Ayazlık;Evin alt katındaki odalara açılan genişçe alan;katındaki alan genişçe alt açılan evin odalara;alan alt açılan evin genişçe katındaki odalara;alan alt açılan evin genişçe katındaki odalara;alan alt açılan ev genişç kat oda
Aygülü;Ayçiçeği;ayçiçeği;ayçiçeği;ayçiçeği;ayçiçek
Bacık;Kaplumbağa;kaplumbağa;kaplumbağa;kaplumbağa;kaplumbak
Bare başı;Raf;raf;raf;raf;raf
Bıçkı;Testere;testere;testere;testere;tester
Bre;Bayanların erkeklere hitap şekli;şekli bayanların hitap erkeklere;bayanların erkeklere hitap şekli;bayanların erkeklere hitap şekli;bayan erkek hitap şekl
Çal;Orman;orman;orman;orman;orman
Çançük;Çekiç;çekiç;çekiç;çekiç;çekiç
Çiçirişka;Sincap;sincap;sincap;sincap;sincap
Çikilinga;Bir kuş türü, su kuşu;kuş kuşu su bir türü;bir kuş kuşu su türü;bir kuş kuşu su türü;bir kuş su tür
Dayama;Tütün kuruturken kapıları dayamak için kullanılan yaklaşık iki metre;tütün kapıları kuruturken iki için kullanılan yaklaşık metre dayamak;dayamak iki kapıları kullanılan kuruturken metre tütün yaklaşık;dayamak iki kapıları kullanılan kuruturken metre tütün yaklaşık;dayamak ik kapı kullanılan kuruturken metr tüt yaklaşık
Dolak;Etek;etek;etek;etek;etek
Dolama;Gömlek;gömlek;gömlek;gömlek;gömlek
Domati;Domates;domates;domates;domates;domates
Dumoğ;Grip hastalığı;hastalığı grip;grip hastalığı;grip hastalığı;grip hastalık
Encek;Kedi, köpek yavrusu;kedi yavrusu köpek;kedi köpek yavrusu;kedi köpek yavrusu;ked köpek yavru
Fetoz;Kadınlarda bir baş örtme şekli;kadınlarda baş örtme şekli bir;baş bir kadınlarda örtme şekli;baş bir kadınlarda örtme şekli;baş bir kadın örtm şekl
Fıta;Önlük;önlük;önlük;önlük;önlük
Gazdirik;Gamsız, kedersiz, boş gezen;kedersiz gezen boş gamsız;boş gamsız gezen kedersiz;boş gamsız gezen kedersiz;boş gams gezen keders
Gıba;Mantar;mantar;mantar;mantar;mantar
Gurçilik;Tahterevalli;tahterevalli;tahterevalli;tahterevalli;tahterevalli
Gusturga;Küçük kertenkele;küçük kertenkele;kertenkele küçük;kertenkele küçük;kertenke küçük
Hanay;Evin ikinci katı;katı ikinci evin;evin ikinci katı;evin ikinci katı;ev ikinç katı
Haran;Tütün kapılarının konulduğu kapalı yer;tütün kapalı konulduğu yer kapılarının;kapalı kapılarının konulduğu tütün yer;kapalı kapılarının konulduğu tütün yer;kapa kapı konulduk tüt yer
Harim;Evin ön bahçesi, avlu;ön avlu bahçesi evin;avlu bahçesi evin ön;avlu bahçesi evin ön;avlu bahçe ev ön
Havur;Ahır;ahır;ahır;ahır;ahır
Hevenk;İpe asılmış ve kurutulmuş tütün bağı;ve i̇pe tütün bağı kurutulmuş asılmış;asılmış bağı i̇pe kurutulmuş tütün;asılmış bağı i̇pe kurutulmuş tütün;asıl bak i̇pe kurutul tüt
Kadi;Yenge;yenge;yenge;yenge;yeng
Kakava;Çitlembik;çitlembik;çitlembik;çitlembik;çitlembik
Kandak;Tarla sınırını birbirinden ayıran yükseklik;yükseklik tarla sınırını ayıran birbirinden;ayıran birbirinden sınırını tarla yükseklik;ayıran birbirinden sınırını tarla yükseklik;ayıran birbir sınır tarla yükseklik
Kavkaz;Mısır sapı kesildikten sonra toprakta kalan kısım, anız;sonra toprakta mısır kesildikten sapı kalan anız kısım;anız kalan kesildikten kısım mısır sapı sonra toprakta;anız kalan kesildikten kısım mısır sapı sonra toprakta;an kalan kesildik kıs mısır sap sonr toprak
Kevik;Tütün hevenklerinin asıldığı kanca, askı;tütün asıldığı askı hevenklerinin kanca;askı asıldığı hevenklerinin kanca tütün;askı asıldığı hevenklerinin kanca tütün;askı asıldık hevenk kanç tüt
Kırasnak;Yemek yerken sininin altına konan kasnak;altına konan yerken sininin kasnak yemek;altına kasnak konan sininin yemek yerken;altına kasnak konan sininin yemek yerken;alt kasnak konan sini yemek yer
Kukumağuk;Baykuş;baykuş;baykuş;baykuş;baykuş
Kırma;Havlu;havlu;havlu;havlu;havlu
Kızan;Çocuk;çocuk;çocuk;çocuk;çocuk
Kiya;Ağaç dallarını tutan uç kısım;uç tutan dallarını kısım ağaç;ağaç dallarını kısım tutan uç;ağaç dallarını kısım tutan uç;ağaç dal kıs tu uç
Kobak;Mısır taneleri yendikten sonra kalan kısım;sonra mısır yendikten taneleri kalan kısım;kalan kısım mısır sonra taneleri yendikten;kalan kısım mısır sonra taneleri yendikten;kalan kıs mısır sonr tane yendik
Koçur;Fındık ve ağaç dallarıyla örülmüş içine mısır konan ambar;ambar ve fındık dallarıyla mısır konan örülmüş içine ağaç;ambar ağaç dallarıyla fındık içine konan mısır örülmüş;ambar ağaç dallarıyla fındık içine konan mısır örülmüş;ambar ağaç dal fın iç konan mısır örül
Kolapana;Çocuk bezi;çocuk bezi;bezi çocuk;bezi çocuk;bez çocuk
Kompil;Patates;patates;patates;patates;patates
Kotar;Koyunların yattığı yer;koyunların yattığı yer;koyunların yattığı yer;koyunların yattığı yer;koyun yattık yer
Mancar;Kertenkele;kertenkele;kertenkele;kertenkele;kertenke
Mari;Kadınların kullandığı bir hitap şekli;hitap şekli kullandığı kadınların bir;bir hitap kadınların kullandığı şekli;bir hitap kadınların kullandığı şekli;bir hitap kadın kullandık şekl
Masaf;Sini;sini;sini;sini;sin
Memişhane;Tuvalet;tuvalet;tuvalet;tuvalet;tuvalet
Mısandıra;Duvar içine gömme dolap;gömme dolap içine duvar;dolap duvar gömme içine;dolap duvar gömme içine;dolap duvar gömm iç
Mostura;Kötü, kötülüğü örnek;kötülüğü örnek kötü;kötü kötülüğü örnek;kötü kötülüğü örnek;kötü kötülük örnek
Pelik;Saç örgüsü;örgüsü saç;saç örgüsü;saç örgüsü;saç örgü
Pırtı;Elbise;elbise;elbise;elbise;elbise
Polak;Su tası;tası su;su tası;su tası;su tas
Porta;Sokak;sokak;sokak;sokak;sokak
Saya;Kadınların dışarıda giydiği siyah renkli uzun giyecek;dışarıda giyecek uzun kadınların renkli giydiği siyah;dışarıda giydiği giyecek kadınların renkli siyah uzun;dışarıda giydiği giyecek kadınların renkli siyah uzun;dışarı giydik giyecek kadın renk siyah uzun
Sergen;Kurumuş mısırların depolandığı ambar biçimli yapı;ambar yapı biçimli depolandığı mısırların kurumuş;ambar biçimli depolandığı kurumuş mısırların yapı;ambar biçimli depolandığı kurumuş mısırların yapı;ambar biçim depolandık kuru mısır yap
Sevte;İlk;i̇lk;i̇lk;i̇lk;i̇lk
Şami;Beyaz tülbent;beyaz tülbent;beyaz tülbent;beyaz tülbent;beyaz tülbent
Şeyka;Çivi;çivi;çivi;çivi;çiv
Tahnal;Taflan;taflan;taflan;taflan;taflan
Tekme;Hayvanların su içtiği yalak;içtiği yalak su hayvanların;hayvanların içtiği su yalak;hayvanların içtiği su yalak;hayvan içtik su yalak
Tete;Teyze;teyze;teyze;teyze;teyz
Tibacık;Uzakta görülen bir yer ve eşyayı göstermek için söz;uzakta söz ve eşyayı göstermek için görülen yer bir;bir eşyayı görülen göstermek söz uzakta yer;bir eşyayı görülen göstermek söz uzakta yer;bir eşya görülen göstermek söz uzak yer
Yanbacık;Yengeç;yengeç;yengeç;yengeç;yengeç
Yasla;Hayvanların yemlerinin döküldüğü yer, yemlik;hayvanların yemlerinin yer döküldüğü yemlik;döküldüğü hayvanların yemlerinin yemlik yer;döküldüğü hayvanların yemlerinin yemlik yer;döküldük hayvan yem yemlik yer
Yastavuç;Üzerinde yufka hamuru açılan tahta;hamuru tahta yufka açılan üzerinde;açılan hamuru tahta yufka üzerinde;açılan hamuru tahta yufka üzerinde;açılan hamur tah yufk üzer
Yemeni;Lastik ayakkabı;lastik ayakkabı;ayakkabı lastik;ayakkabı lastik;ayakkabı lastik
Yeyin;Hafif;hafif;hafif;hafif;hafif
Yıram;Kilim;kilim;kilim;kilim;kil
Zare;Kurumuş mısır sapı;kurumuş mısır sapı;kurumuş mısır sapı;kurumuş mısır sapı;kuru mısır sap
Zelnik;Semizotu;semizotu;semizotu;semizotu;semizo
Zıyrangıç;Kar yağdığında kızakla kayılan yer;kayılan yağdığında kızakla yer kar;kar kayılan kızakla yağdığında yer;kar kayılan kızakla yağdığında yer;kar kayılan kızak yağdık yer
Zifir;Tütün zifti;tütün zifti;tütün zifti;tütün zifti;tüt zift
Zifirlik;Sadece tütün kıyarken veya dizerken giyilen giysi;giyilen veya giysi tütün kıyarken dizerken sadece;dizerken giyilen giysi kıyarken sadece tütün;dizerken giyilen giysi kıyarken sadece tütün;dizer giyilen giys kıyarken sade tüt
Gözee;Güzel;güzel;güzel;güzel;güzel
Töbosun;Tövbe olsun;olsun tövbe;olsun tövbe;olsun tövbe;ols tövp
Gali;Gari anlamında.;gari anlamında;anlamında gari;anlamında gari;anlam gari
Haşheşli Gözme;Haşhaşlı Gözleme;haşhaşlı gözleme;gözleme haşhaşlı;gözleme haşhaşlı;gözle haşhaş
Tarna;Tarhana;tarhana;tarhana;tarhana;tarhan
Deli Tandır;Odun Sobası;odun sobası;odun sobası;odun sobası;odun soba
Gelyon;Geliyorum;geliyorum;geliyorum;geliyorum;geliyor
Gityon;Gidiyorum;gidiyorum;gidiyorum;gidiyorum;gidiyor
Yapyon;Yapıyorum;yapıyorum;yapıyorum;yapıyorum;yapıyor
Kesyon;Kesiyorum (ve bunun gibi birçok örnekle çoğaltılabilir);kesiyorum gibi çoğaltılabilir ve birçok bunun örnekle;birçok bunun kesiyorum çoğaltılabilir örnekle;birçok bunun kesiyorum çoğaltılabilir örnekle;birçok bun kesiyor çoğaltılabilir örnek
Büber;Biber;biber;biber;biber;biber
Kompil;Patates;patates;patates;patates;patates
Irmızan;Ramazan;ramazan;ramazan;ramazan;ramazan
Üsen;Hüseyin;hüseyin;hüseyin;hüseyin;hüsey
Gayınna;Kaynana;kaynana;kaynana;kaynana;kaynan
Şerfe;Şerife;şerife;şerife;şerife;şerif
İbram;İbrahim• Gııııııı : Bayanlara (seslenmek amacıyla söylenir);söylenir bayanlara gııııııı i̇brahim• seslenmek amacıyla;amacıyla bayanlara gııııııı i̇brahim• seslenmek söylenir;amacıyla bayanlara gııııııı i̇brahim• seslenmek söylenir;amaç bayan gıııııı i̇brahim• seslenmek söylenir
Lenn;Erkeklere hitap ( seslenmek amacıyla söylenir);söylenir erkeklere hitap amacıyla seslenmek;amacıyla erkeklere hitap seslenmek söylenir;amacıyla erkeklere hitap seslenmek söylenir;amaç erkek hitap seslenmek söylenir
Dada;Çocuk;çocuk;çocuk;çocuk;çocuk
Badılcan;Patlıcan;patlıcan;patlıcan;patlıcan;patlıcan
Kesdene;Kestane;kestane;kestane;kestane;kestane
Gayınpeder;Kayınpeder;kayınpeder;kayınpeder;kayınpeder;kayınpeder
İlyen;Leğen;leğen;leğen;leğen;leğen
Sıfra;Sofra;sofra;sofra;sofra;sofr
Sıfraaltı;Yer sofrasının altına serilen örtüYaygı;altına serilen yer sofrasının örtüyaygı;altına serilen sofrasının yer örtüyaygı;altına serilen sofrasının yer örtüyaygı;alt serilen sofra yer örtüyayg
Curuk;Hindi;hindi;hindi;hindi;hint
Mezerlik;Mezarlık;mezarlık;mezarlık;mezarlık;mezarlık
Ünnemek;Çağırmak;çağırmak;çağırmak;çağırmak;çağırmak
Erkeç;Keçi;keçi;keçi;keçi;keç
Gemiyonuzmu;Gelmiyormusunuz (Burdaki 'n' harfi damaktan vurgulanacak);burdaki damaktan vurgulanacak n gelmiyormusunuz harfi;burdaki damaktan gelmiyormusunuz harfi n vurgulanacak;burdaki damaktan gelmiyormusunuz harfi n vurgulanacak;bur damak gelmiyorm harfi n vurgulanacak
Galdırımcı;Kaldırımcı (yol işi yapan ustalara denir ki : bu Tepecikte Ata mesleğidir.);bu ki tepecikte mesleğidir kaldırımcı ata denir yapan ustalara yol işi;ata denir işi kaldırımcı mesleğidir tepecikte ustalara yapan yol;ata denir işi kaldırımcı mesleğidir tepecikte ustalara yapan yol;a denir iş kaldırımç meslek tepecik usta yapan yol
Deze;Teyze;teyze;teyze;teyze;teyz
Enkini;Elindeki şey veya 'onu' anlamında söylenir;onu veya anlamında söylenir şey elindeki;anlamında elindeki onu söylenir;anlamında elindeki onu söylenir;anlam elin on söylenir
Napyon;Napıyorsun (Ne haber veya Nasılsın anlamında kullanılır);veya napıyorsun anlamında kullanılır ne haber nasılsın;anlamında haber kullanılır napıyorsun nasılsın;anlamında haber kullanılır napıyorsun nasılsın;anlam haber kullanılır napıyor nasıl
Gıdaagadaa;Kadar;kadar;kadar;kadar;kadar
Dartvicenmi;Tartıverecekmisin;tartıverecekmisin;tartıverecekmisin;tartıverecekmisin;tartıverecek
Bizimoğlan;Öyle bir kelimedir ki açıklaması dahi zordur.Bazen yakın erkek akrabalara;dahi ki öyle yakın erkek akrabalara bir zordur bazen kelimedir açıklaması;akrabalara açıklaması bazen bir dahi erkek kelimedir yakın zordur öyle;akrabalara açıklaması bazen bir dahi erkek kelimedir yakın zordur öyle;akraba açıklama bazen bir dahi erkek kel yak zor öyl
Bizimgız;yukarudakinin değişiği;yukarudakinin değişiği;değişiği yukarudakinin;değişiği yukarudakinin;değişik yukaru
Nigıdanegada;Ne kadar;kadar ne;kadar;kadar;kadar
Gaktırıvee;İtele İtekle;i̇tekle i̇tele;i̇tekle i̇tele;i̇tekle i̇tele;i̇tekle i̇tele
Vaa;Var;var;var;var;var
Acıktan;Birazdanbiraz sonra;birazdanbiraz sonra;birazdanbiraz sonra;birazdanbiraz sonra;birazdanbiraz sonr
Gara benizli;Esmer yüzlü;esmer yüzlü;esmer yüzlü;esmer yüzlü;esmer yüzl
Çapar;Sarı saçlısarışınlara ve renkli gözlülere denir.;ve denir sarı saçlısarışınlara gözlülere renkli;denir gözlülere renkli sarı saçlısarışınlara;denir gözlülere renkli sarı saçlısarışınlara;denir göz renk sar saçlısarışın
Hökümat;Hükümet;hükümet;hükümet;hükümet;hükümet
Hinciki;Şimdiki;şimdiki;şimdiki;şimdiki;şimdik
Köv;Köy;köy;köy;köy;köy
Goley;Kolay;kolay;kolay;kolay;kolay
Köthaya;Kütahya;kütahya;kütahya;kütahya;kütahya
Sıpıtmak;Fırlatmakileriye atmak;atmak fırlatmakileriye;atmak fırlatmakileriye;atmak fırlatmakileriye;atmak fırlatmakileri
Gıyneşve;Hareket etdavran anlamında;hareket etdavran anlamında;anlamında etdavran hareket;anlamında etdavran hareket;anlam etdavran hareket
Ünnemiş;Seslenmişçağırmış;seslenmişçağırmış;seslenmişçağırmış;seslenmişçağırmış;seslenmişçağır
Urlara;Oralara;oralara;oralara;oralara;ora
Burlara;Buralara;buralara;buralara;buralara;bura
Ge Bure;Buraya gel;gel buraya;buraya gel;buraya gel;bura gel
Hişdamma;Sessiz ol.Sus! anlamında;anlamında sessiz ol sus;anlamında ol sessiz sus;anlamında ol sessiz sus;anlam ol sess sus
Eyyaha Bag;Vallaha bak ! gibi bir sözdür. (genelde bayanlar kullanır);gibi bayanlar vallaha sözdür kullanır genelde bak bir;bak bayanlar bir genelde kullanır sözdür vallaha;bak bayanlar bir genelde kullanır sözdür vallaha;bak bayan bir genel kullanır söz vallah
Bihoş;Bir tuhaf;tuhaf bir;bir tuhaf;bir tuhaf;bir tuhaf
Mayhoş;Ekşi;ekşi;ekşi;ekşi;ekş
