kelime;lemmatization
Bre;bayanların erkeklere hitap şekli
Çal;orman
Çançük;çekiç
Çiçirişka;sincap
Çikilinga;bir kuş türü su kuşu
Dayama;tütün kuruturken kapıları dayamak kullanılan yaklaşık iki metre
Dolak;etek
Dolama;gömlek
Domati;domates
Dumoğ;grip hastalığı
Encek;kedi köpek yavrusu
Fetoz;kadınlarda bir baş örtme şekli
Fıta;önlük
Gazdirik;gamsız kedersiz boş gezen
Gıba;mantar
Gurçilik;tahterevalli
Gusturga;küçük kertenkele
Hanay;evin ikinci katı
Haran;tütün kapılarının konulduğu kapalı yer
Harim;evin ön bahçesi avlu
Havur;ahır
Hevenk;i̇pe asılmış kurutulmuş tütün bağı
Kadi;yenge
Kakava;çitlembik
Kandak;tarla sınırını birbirinden ayıran yükseklik
Kavkaz;mısır sapı kesildikten sonra toprakta kalan kısım anız
Kevik;tütün hevenklerinin asıldığı kanca askı
Kırasnak;yemek yerken sininin altına konan kasnak
Kukumağuk;baykuş
Kırma;havlu
Kızan;çocuk
Kiya;ağaç dallarını tutan uç kısım
Kobak;mısır taneleri yendikten sonra kalan kısım
Koçur;fındık ağaç dallarıyla örülmüş içine mısır konan ambar
Kolapana;çocuk bezi
Kompil;patates
Kotar;koyunların yattığı yer
Mancar;kertenkele
Mari;kadınların kullandığı bir hitap şekli
Masaf;sini
Memişhane;tuvalet
Mısandıra;duvar içine gömme dolap
Mostura;kötü kötülüğü örnek
Pelik;saç örgüsü
Pırtı;elbise
Polak;su tası
Porta;sokak
Saya;kadınların dışarıda giydiği siyah renkli uzun giyecek
Sergen;kurumuş mısırların depolandığı ambar biçimli yapı
Sevte;i̇lk
Şami;beyaz tülbent
Şeyka;çivi
Tahnal;taflan
Tekme;hayvanların su içtiği yalak
Tete;teyze
Tibacık;uzakta görülen bir yer eşyayı göstermek söz
Yanbacık;yengeç
Yasla;hayvanların yemlerinin döküldüğü yer yemlik
Yastavuç;üzerinde yufka hamuru açılan tahta
Yemeni;lastik ayakkabı
Yeyin;hafif
Yıram;kilim
Zare;kurumuş mısır sapı
Zelnik;semizotu
Zıyrangıç;kar yağdığında kızakla kayılan yer
Zifir;tütün zifti
Zifirlik;sadece tütün kıyarken dizerken giyilen giysi
Gözee;güzel
Töbosun;tövbe olsun
Gali;gari anlamında
Haşheşli Gözme;haşhaşlı gözleme
Tarna;tarhana
Deli Tandır;odun sobası
Gelyon;geliyorum
Gityon;gidiyorum
Yapyon;yapıyorum
Kesyon;kesiyorum bunun birçok örnekle çoğaltılabilir
Büber;biber
Kompil;patates
Irmızan;ramazan
Üsen;hüseyin
Gayınna;kaynana
Şerfe;şerife
İbram;i̇brahim• gııııııı bayanlara seslenmek amacıyla söylenir
Lenn;erkeklere hitap seslenmek amacıyla söylenir
Dada;çocuk
Badılcan;patlıcan
Kesdene;kestane
Gayınpeder;kayınpeder
İlyen;leğen
Sıfra;sofra
Sıfraaltı;yer sofrasının altına serilen örtüyaygı
Curuk;hindi
Mezerlik;mezarlık
Ünnemek;çağırmak
Erkeç;keçi
Gemiyonuzmu;gelmiyormusunuz burdaki n harfi damaktan vurgulanacak
Galdırımcı;kaldırımcı yol işi yapan ustalara denir tepecikte ata mesleğidir
Deze;teyze
Enkini;elindeki onu anlamında söylenir
Napyon;napıyorsun haber nasılsın anlamında kullanılır
Gıdaagadaa;kadar
Dartvicenmi;tartıverecekmisin
Bizimoğlan;öyle bir kelimedir açıklaması dahi zordur bazen yakın erkek akrabalara
Bizimgız;yukarudakinin değişiği
Nigıdanegada;kadar
Gaktırıvee;i̇tele i̇tekle
Vaa;var
Acıktan;birazdanbiraz sonra
Gara benizli;esmer yüzlü
Çapar;sarı saçlısarışınlara renkli gözlülere denir
Hökümat;hükümet
Hinciki;şimdiki
Köv;köy
Goley;kolay
Köthaya;kütahya
Sıpıtmak;fırlatmakileriye atmak
Gıyneşve;hareket etdavran anlamında
Ünnemiş;seslenmişçağırmış
Urlara;oralara
Burlara;buralara
Ge Bure;buraya gel
Hişdamma;sessiz ol sus anlamında
Eyyaha Bag;vallaha bak bir sözdür genelde bayanlar kullanır
Bihoş;bir tuhaf
Mayhoş;ekşi
Gündöndü;ayçiçeğiçekirdek
Dee UrdaDee ha;taa orada
Iscak;sıcak
Aha Boo;i̇şte
Emme;fakat
Çekişmek;kavga etmek
Cereme;cezakülfet
Gayıl olmak;razı olmak
Sası;yavantuzsuz
Avara;gevşek i̇şe yaramaz
Apışmak;öylece kalakalmak
BöğürBörün;göğüs gövde
Bürünmek;örtünmek
Çıngırdak;zilçan
Çapıt;çaputbez
Çıkı;mendil yada bezden torba
Dürü;gelin hediye bohçası
Ecinni;şeytancin
Engücü;eninde sonundanasıl olsa
Erinmek;üşenmek
Gaçıl;kenara çekil
Havas;hevesmerak
Hırt;olgunlaşmamışçiğ
Hinci;şimdi
Gav gibi;hafif
Masus;şaka
Mayışmak;gevşemek
Muzur;aksi yaramazafacan çocuk
Müdane;minnettenezzül
Narasın;arasın yokmevcut değil
Sumsuk;yumruk
Süsmek;büyükbaş hayvanların insanı boynuzuyla iteklemesi
Şinik;tahıl ölçeği
Marma;havlu eskiler derdigençler pek bilmez
Urba;elbise
Yüklük;yatak yorganın yığıldığı dolap yer
Zıbarmak;uyumak
Emmi;amca yeni nesiller artık emmi hitabını kullanmıyor
Goyve;koyuverbırakıver
Baken;bakayım
Dartvicenmi;tartıverecekmisin pazarda
Alvicenizmi;alıverecekmisiniz
Açıvicenizmi;açıverecekmisiniz
Nolcek;olacak
Nigada;kadar
Musfa;mustafa
Sadıç;sağdıç
Kemkirmek;şımarmak
Badılcan;patlıcan
Göveç;güveç
Bönelek;konuşmadan bön bön bakana denir
Uluk;bir işi beceremeyene denir
Samsak;sarımsak
Örtme;eskiden kadınların başlarına giydiği koyu renkli bir çeşit yöresel örtü
Enteri;entarigömlek
Bıza;buzağı
Malak;manda yavrusu
Gatık;katık kurutulmuş yoğurt eski geleneksel yiyeceklerden
Alma;elma
Yunmak;yıkamak
Yülütmek;traş ettirmek
TemmiçTemmiş;sahur vakti ramazanda
ÜleşmekÖleşmek;paylaşmak
AbuuAboo;aşırılığı ifade etmek ünlem sözü
Anız;biçilen buğdayın tarlada kalan köklü sapı
An;tarla sınırı
Böğün;bugün
Barabar;beraber
Dıngılmak;otururarak hafif yan yatmakyana yuvarlanmak
Fistan;basmadan yapılan kadın elbisesi
Gara;kara siyah
Gursak;boğaz kursak
Göynüm;gönlüm
Gıran;salgın hastalıkkenar
Garannık;karanlık
Garez;kin
Hadibakam;hadi göreyim
Hana;hani
İcar;toprak kirası
Köfün;büyük sepet
Gıt;kıtaz
Kurdeşen;allerji
Galbır;büyük gözenekli elek
Kile;buğday ölçülen kilo alan kab
Gama;ucu eğri sivri olan bıçak
Mintan;sırta giyilen kısa elbise
Nacap;
Okka;kilenin sekizde birini ifade eden ölçü kabı
Paklamak;temizlemek
Potin;bot
Poçu;atkı dolak düğünlerde damat şağdıcın omzuna takılır
Peşkir;önlükmendil
Seğitmek;koşmak
Zini;sofrada üzerine yemek konulan geniş yuvarlaktepsi
Velesbit;bisiklet
Zeree;ondan dolayı ben farketmiştim zaten anlamında
Barak gafalı;saçlı dağınık kafa
Göğer;sebzeyeşillik yiyecek
Çebiççepiş;yaşında keçi yavrusu
Tınlamıyor;cansızhareketsiz
Gocuk;palto
Yamani eyi osun;oh olsunmüstehaktır ona
Şinik Gafalı;koca kafalı kafası büyük olan anlamında
Mile;misketbilye
Gara Gazoz;coca cola nın yöresel tabiri
Beyaz Gazoz;sade gazoz
Püsgevit;bisküi
İme;emi tembih sözü
Zartlak;şişkoşişman
Mıymıntı;ağır davrananbeceriksiz
Yedek;çay demliğisu demliği anlamında
Gorcu;köy korucusu
Vesayit;vasıtaaraç
Çay guymak;çay koymak başka yörelerde çay dökmekte denir
"Yöresel Kelimelerimiz ve Anlamları 
 
 
A 
A 'am";ağabey
Abdal  Aşı;karışık
Abdal;çingene
Acer;yeni
Acık;biraz azıcık
Acışmak;acı duymak
Açacak;kapı kilidi anahtar
Adıbeli;bari
Ağız;kesik süt
Aha;yakında
Akraz;ahraz dilsiz
Akkeze;baston
Alayı;tümü
Allefçi;tahıl eleyen kimselere verilen isim
Amadan;tepsi
Ambelbeter;bundan kötü
Angeslek;bilerek kasten
Apal;ağaçta iki dalın birleştiği yer
Arasa;tahıl satılan yer
Araya ( Ariye ) vermek;birşeyin bozulması
Arbaha;çarşamba
Arbet;çirkin
Arıp;asma
Asas;esas öz
Aspab;günlük hayatta kişinin üzerine giydiği elbise
Aşam;akşam
Aşgün;atkı boyun bağı
Avadanlık;hediyelik eşya
Avra;evli kadın
Ayel;hanım karı
Atepsiz;doğacak bebeklere sağlıklı doğması söylenen söz
Ayret;yakışmayan uymayan
Azap;bir yılık tarım işçisi
"Yöresel Kelimelerimiz ve Anlamları 
 
 
B 
Baa";bana
Bakdeniz;maydonoz
Balcan;patlıcan
Balhımak;sancımak
Barabar;beraber
Bardak altı;çatı katı
Basamak;sabit merdiven
Bastık;pekmezin kurutulmasıyla yapılan bir tür tatlı
Başire;pazarlık
Bayakleyin;biraz önce
Baynamak;vermek yöremizdeki abdalların kullandığı söz
Bayramcalık;bayram alınan kıyafet
Bazlama;sacta pişirilen ekmek
Beçare;biçar çaresiz
Beleş;bedava
Belleda;kirli suların aktığı kanal
Berduş;boş gezen serseri
Berkitmek;sıkıştırmak
Bes;sadece
Beyle;böyle
Bıçkı;testere
Bıldır;geçen sene
Bıldırkımı;geçen seneki
Bi  kelle;bir kere
Bi sohum;bir lokma
Bilot;
Binan;bir
Bön;bugün
Börkmek;malca durumu iyileşmek zenginleşmek
Bum;çocukluk dilinde su anlamında kullanılır
Buyan şerbeti;meyan şerbeti
Buymak;üşümek
Bük üzümü;böğürtlen
"Yöresel Kelimelerimiz ve Anlamları 
 
 
C  
Cahal";cahil
Cahannamın Dibi;cehennemin dibi beddua
Calp;sıvıların sıvılık derecesini belirten sıfat
Camız;bir öküz çeşidi
Cardın;büyük fare
Carıs;rezil
Cartlak kebabı;ciğer kebabı
Cercer;tahılları sapından ayıran kesici alet
Cereme;karşılık ceza
Cıbartmak;kızartmak
Cımalamak;tırmalamak
Cımcıllık;ıslak
Cıncık;kırık cam parçası
Cırnak;tırnak
Cırtatan;kırsal bölgelerde yetişen yabani meyvesi olan bitki
Cıvık Yemek;türlü sulu yemeğe verilen isim
Cıvır;güzel alımlı kız yöremizdeki abdalların kullandığı söz
Cızzık;çizgi
Cibeltmek;şımartmak
Cillop;güzel
Cip;aşırı
Civelek;arazisi olmayan köylü
Codar;sakat
Cor;bir kişinin karşılıklı sohbeti
Cor Etmek;karşılıklı konuşmak
Cullub;çocukların misket oynamak yere kazdığı çukur
Culluk;hindi
Curun;havuz
Cücük;civciv
Cümbür Cemaat;beraber topluca
Cümle Kapısı;evin dış kapıdan sonra içte bulunan kapısı
"Yöresel Kelimelerimiz ve Anlamları 
 
 
 
Ç 
Çağla";badem
Çakıldak;atık eşyaların biriktirilmesi
Çapımak;gevşemek
Çaput;gereksiz bez parçası
Çarpana;eski ayakkabı
Çatı;kadınların su taşımak boyunlarına astıkları alet
Çatma;üç ayaklı askılık
Çeçeretsiz;beceriksiz
Çelem;şalgam
Çelet;afacan
Çemkirmek;bağırmak azarlamak
Çıbık çalmak;el çırpmak
Çıkın;ekmeğe sarılan bez bohça
Çıkla;sadece
Çızma;çizme
Çillek;açgözlü görgüsüz
Çimmek;banyo yapmak
Çinke;bir tutam
Çirtikli;süslü mecazen farklı farklı huyları olan insan
Çotura;büyük bidon
Çömçe;serviste kulanılan büyük kaşık yemek kepçesi
Çörten;çatıdan akan suyu yönlendiren oluk
Çul;gerekmez halı parçası
Çullama;lahmacun börek vb iç harcının fazla olma durumu
"Yöresel Kelimelerimiz ve Anlamları 
 
 
 
D 
Dabaz";kaşıntı
Dabaz;kurdeşen
Dahre;ağaç kesmek kullanılan alet
Damdıra;saz
Darı;mısır
Darı sapı;koçan
De valla;vallahi mi sahiden mi
Değne;bakmak i̇ncelemek
Dehliz;sokak
Delip;bulgur değirmeni
Depelemek;ayakla ezmek
Depik;tekme atmak
Depme;bidon
Dereme;topaç
Dezze;teyze
Dıbık;yapış yapış
Dıhız;i̇stenilenden fazla
Dıkılmak;kapalı kalmak bunalmak
Dımdızlak;yalnız kalmak
Dımışkı;üzüm
Dırabzın;merdiven korkuluğu
Dışlığı gelmek;canı sıkılmak
Dilliklemek;karıştırmak elini sürmek
Dilme;üzüm suyu nişastadan yapılan tatlı
Dinelmek;ayakta beklemek
Dişlen;dişleri öne çıkmak
Dolak;kadınların namaz kılarken başlarına bağladığı beyaz eşarp
Dolbak;başı açık
Dombalak;takla
Don kazanı;çamaşır kaynatmak yapılmış kazan
"Yöresel Kelimelerimiz ve Anlamları 
 
 
Döğme";buğdaydan yapılmış keşkek
Döş;göğüs
Döşün Tahtası;göğüs kafesinin ön yüzü
Dulda;gölge
Duluk;şaç favorisi fayil
Duz ölbesi;tuz koymak tahtadan yapılan kap
Dürbeke;darbuka
Dürüm;pidenin içine yemek konulup yuvarlanmış hali
"E 
Ebe";hala
Ede;erkek kardeş
Eer;
Efen;kalitesiz
Eğleşmek;vakit geçirmek gönül eğlendirmek
Elden ayrıksı;farklı duran
Eletmek;götürmek
Ellem;galiba
Ellik Gavuru;ermeni
Elöpen;kertenkele
Ergen;genç kız erkek
Esikcaz;kadınlar kullanılan bir tabir
Esnaf servesi;esnafların bazen dükkanlarını kapatarak yaptığı piknik
Eşmarlaşmak;i̇şaretleşmek
Etee esik;kadınlar kullanılan bir tabir
Ev ekme;evde yapılmış yufka şeklindeki ekmek
Evergeç;ekmek yapmakta kullanılan şiş
Evermek;evlendirmek
"Yöresel Kelimelerimiz ve Anlamları 
 
 
F 
Faal";tarla işçisi
Fanus;gemici feneri
Fartçı;pekmez yapmak üzüm tepeleyen kimse
Felee;felek feleğe
Fenikmek;fenalaşmak
Fermene;kadın yeleği
Fıhara;fakir
Fıharacaz;zavallı
Fıslak;ezik özgüvensiz
Firez;ekini biçilmiş tarla
Firik;buğdayın yaşken ateşten geçirilmiş hali mecazen aklı olgunlaşmamış kişi
Firik Pilavı;firikten yapılmış yöresel pilav
"Yöresel Kelimelerimiz ve Anlamları 
 
 
G 
Gadan baa gele";derdin tasan bana gelsin sana bir olmasın
Galaba;kalabalık
Galle;para kasası
Galledar;kasiyer
Ganına belenmek;kana bulanmak ölmek
Ganne;şişe
Gap  Gacak;mutfak eşyaları
Garaltı;ev eşyası
Gaspadancak;zorla
Gatrembiz;kavonoz
Gavırga;patlamış mısır
Gaz ocaa;i̇çine gaz konularak çalışan bir ocak
Geçi;keçi
Geden ay;geçen ay
Gine;yine
Genler;kendisi
Gergah;gergef
Gergeç;çamaşır serilen ip
Gıdım;biraz
Gıhırdak;tahtadan yapılmış büyük bıçak
Gıygıcı;kemancı
Gidişmek;kaşınmak
Godurtmak;bırakmak salmak
Golçu;bekçi
Goop;koğuş
Göbelek;mantar
Göre;güya
Götümlenmek;gereksiz yere kapris yapmak
Göyün;gönür
Gudduk;kısa boylu
Gundi;köylü
"Yöresel Kelimelerimiz ve Anlamları 
 
 
Guru yer";üzerinde örtü olmayan yer
Guvarmak;bırakmak
Guzzulu gurt;kuzunu kurt kapsın
Gülle;misket
"H 
Habbab";takunya
Hacet yeri;yatak yorgan vb yeri
Haftan;bindallı
Hakeke;bir çocuk oyunu
Hakiye;hikaye
Hakmet;hikmet
Halfe;hademe hizmetli
Hallik;yöreye bir koyun türü
Hamadan;tepsi
Hameyli;gümüşten yapılan bir tür kolye
Hamıt;atların boynuna geçirilen boyunduruk
Hampara;büyük beyaz sert taşlar
Hanek;konuşmak
Hanen uludu;gereksiz konuşma
Hanifi;musluk
Haphap;takunya
Hara;neresi
Haradan;nereden
Haraf;bakımsız
Haral;kıldan yapılmış büyük çuval
Harbul;tahıl elemekte kullanılan elek
Harpandak;aniden
"Yöresel Kelimelerimiz ve Anlamları 
 
 
Hartık hurtuk";eğri büğrü biçimsiz
Has;marul
Hasıtlamak;kıskanmak
Hasraf;tarla başlarına açılan büyük kuyu
Hasut;kıskanç
Haşlamak;pişirmek
Havara;ev yapımında kullanılan bir tür kireç
Hayad;bahçe
Hayce;hatice
Hayir;i̇ncir
Hayla;
Hazne;kiler
Hazvel;korlanmış ateş
He;evet
Heç;
Heke;eke bilmiş
Heyye;evet
Hım;bina temeli
Hımsıma;yemeğin tadının bozulması
Hırhız;hırsız
Hısım;akraba
Hış olmak;yorulmak
Hille;hal
Horanta;aile fertlerinin tümü
Hökelenmek;sinirlenmek
Hönüsü;bir üzüm çeşiti
Hörü;git
Hösgüt;susukun
Hösmek;susmak
Hösün;hüseyin
"Yöresel Kelimelerimiz ve Anlamları 
 
 
I 
Ihtıyar";i̇htiyar
Ismariç;sipariş
Istıfıl ol;allah seni biliyorsa öyle yapsın
"İ 
İdara çıra";gaz lambası
İginyik;dizantere
İliklemek;düğmeleri kapatmak
İnce;orkestra
İtedi;ekmek yaparken üzerine un konulan bez
İvez;sivrisinek
İzar;kara çarşaf
"K 
Kabala";süresi olmadan yapılan iş
Kahge;ramazan bayramında yapılan yuvarlak sert simit
Kalem açkı;kalemtıraş
Kalo;yaşlı adam
Karabalık;çamur balığı
Karsambaç;pekmez karın karıştırılmasıyla yapılan soğuk tatlı
Kasmak;kanaviçe yapımında kullanılan alet
Kastel;çeşme
Kazzık;hayvanları bağlamak yere çakılan kazık
Kekil;kahkül
Kelep;i̇p yumağı
Keneyi;i̇nadına
Keyek;i̇çmek
Kızını satma;kızı evlendirmek
Köm etmek;toplamak biriktirmek
"Yöresel Kelimelerimiz ve Anlamları 
 
 
Körleme";körü körüne bilmeden
Kösne;köstebek
Kösnük;i̇şe yaramaz
Kulp;bahane
Kübban;bir pide çeşidi
Küf;takke
Künefe;kadayıf
"L 
Laylon";traktör römorku
Lırık Çıra;zeytinyağı konulup ucu ateşle yakılan alet
Lod;taştan demirden yapılmış silindir alet
"M 
Maamed";muhammed
Maasım;gariban
Maayer;kaliteli
Madda;büyük çukur
Made;mide
Mahmıl;duvarın içine yapılmış dolap
Mahra 1.;sebze kasası
Mahra 2.;derinliği olan kasa
Maklap;samanlık
Malhıta;kırmızı mercimek
Masammak;merdiven basamağı
Maşara;tarla sulaması oluşturulan alan
Maşraba;sürahi
Mekine;kamyon
Meses;ucu demirli sopa
Meymenetsiz;suratsız
Mıh;çivi
Mıhrı s;cimri
"Yöresel Kelimelerimiz ve Anlamları 
 
 
Mırrık";çamur
Mısmıl;düzgün
Mil;örgü şişi
Mintan;gömlek
Miskilim;güzel
Mişmiş;kayısı
Mumbar;dolma yapımında kullanılan bağırsak
Mundar;bozulmuş
Mutlak;muska
"N 
Nacar";marangoz
Nahır;büyükbaş inek sürüsü
Namtı;sapsız bıçak
Navaht;zaman
Neçe;nice
Neçeye;kaç para
Nış;hafif nemli yer
"O 
Odartmak";onarmak
Odurlamak;hırsızlık yapmak
Ofurtmak;abartmak
Okla lomba;florsan lamba
Oldoo;olduğu
Ovadancak;zamana kadar
Okuntu;davetiye
Ortancıl;ortanca
"Yöresel Kelimelerimiz ve Anlamları 
 
 
Ö 
Ödünlü olmak";korkmuş kişi
Ökenmek;birisinin konuşmasını taklit etmek
Öksemek;özlemek
Ölbe;tahtadan silindir şeklinde kap
Örklemek;hayvanı atlanması yere bağlamak
Örtme;bir nevus balkon
Öteberi;muhtelif eşya
Ötee;öteki
Övez;sivrisinek ivez
"Yöresel Kelimelerimiz ve Anlamları 
 
 
P 
Paskıl";kantar
Patlak;plastik su bidonu
Pandir;peynir
Perçem;saçın ön kısmı
Peybaz;salata
Pin;tavuk kümesi
Pisik daşaa;bir tür tatlı
"Pantolon 
Pöç";kalça
Puhara;baca
Pusmak;diz çöküp oturmak
Pisik;kedi
Pürçüklü;havuç
Pırtmış;kopmuş ayrılmış
Püssük;kedi
Pirpirim;semiz otu
Pert;bitmiş tükenmiş
Pecmurde;pasaklı bakımsız
Rafık;arkadaş
"Yöresel Kelimelerimiz ve Anlamları 
 
 
S 
 
Saa";sana
Saan;tabak
Saası;küçük kürek
Saep;sahip
Sahden;gerçekten
Saho;ceket
Sahre;piknik
Sallama;kalınca yapılmış ekmek
Samsak;sarımsak
Sangalaç;tahterevalli
Sarat;kum elemede kullanılan elek
Savan;sofra bezi
Savup da get;defol git
Saya;i̇ş önlüğü
Sebil;bedava
Seki;bahçeli evlerde yapılan yüksek oturak
Sele;çamaşır konulan plastik sepet
Sellif etmek;ortalığa düşürmek
Sen saa ii bak;kendine iyi bak
Serpene;bağda üzümü kaldıran çatal sopa
Sındak;kuytu köşe
Sındı;makas
Sıyıpmak;kaymak
Sıypancak;kaydıraç
Siftah;i̇lk
Sigeç;bahçe kenarındaki çit
Silece;hayvanların üzerine asılan içine eşya konulan sepet
Sille;tokat
Sini;tepsi
Sitirli;tertipli düzenli
"Yöresel Kelimelerimiz ve Anlamları 
 
 
Soklanmak";söylenmek kızmak
Soku;bulgur ezmek taştan yapılan yer
Somya;kanepe
Sona;sonra
Soyha;günlük yaşamda kullanılan kıyafet
Söbelek;mısır koçanı
Söhür;sahur
Söörme;közlenmiş patlıcandan yapılan yemek
Sufra;sofra
Sulama;şeker yağ hamurdan yapılan tatlı
Sumadı barabar;suyu çıkana kadar
Sumsuk;yumruk
Süllüm;tahta merdiven
Süyük;saçak
Sehlik;salak
Sası;kokmuş bozulmuş
Sındı;koyun kırpma makası
Simüt;köftelik ince bulgur
Soytarı;başıboş boş gezen
Siter;tarladaki ince uzun kesitler
Sülha;sürahi
Silik;arsız utanmaz
Süzünmek;nazlı bir tavırla somurtmak
Siftinmek;elbisesinin içinde vücudunu kımıldatarak kaşınmak
"Yöresel Kelimelerimiz ve Anlamları 
 
 
Ş 
Şabşak";bir litrelik plastik sürahi
Şahıl;eşeklerin üstüne asılan su taşımak kullanılan bidon
Şak;yolluk şeklinde dokunmuş ince uzun kilim
Şamşa şakımak;pırıl pırıl parlamak
Şarmıta;ahlaksız
Şarpa;eşarp
Şimel;avuç
Şimellemek;avuçlamak
Şindi;şimdi
Şorak;tuzlu
Şaplak;tokat
Şiksiz;becerikli beceriksiz
Şırrik;salya
Şırdan;bağırsak dolması
Şorcu;dedikoducu
Şorba;çorba
"Yöresel Kelimelerimiz ve Anlamları 
 
 
T 
Tabaat";huy
Tabaka;i̇çerisine tütün konulan kutu
Tada;pencerenin alt kısmındaki kenar
Taharlak;makara
Talgın;ölen kimsenin defnedildikten sonra başına geçip dua etmek
Tamah;bencil cimri
Tamana;i̇şte burda
Tandır;köz halindeki ateşin kenarına yapıştırılarak yapılan ekmek
Toplama;bir çeşit ekmek
Tarpadak;ansızın aniden
Tas;bardak
Taşkala;telaşlanma dalga geçmek
Taykeş;i̇kizlerin beyninin birbirinden farklı olması
Tebelleş;sataşmak
Telbis;kendirden yapılmış çuval
Temetos;domates
Terşi;elde ip eğirmek
Tiyek;asma fidanı
Topaç;etin yumruk büyüklüğünde ayrılıp pişirilmiş şekli
Tosbağa;kaplumbağa
Tüsbeh;tesbih
Tinbeat;titiz
Tıpırt;yapışkan
Toslak;tombul
Tulluk;şişman
Teber;abdal
Tokan;sigara
Tirrek;cimri
Tırşik;yılan yastığı otu
"Yöresel Kelimelerimiz ve Anlamları 
 
 
 
 
U 
Umsuluk olmak";istenilen bir şeye ulaşamamak
Utuzmak;yenilmek
Uvunmak;şiddetli bir acı tesiriyle nefesi kesilir olmak
"Ü 
Üdürgü";matkap
Ütmek;yenmek
Ütülmek;yenilmek
"Yöresel Kelimelerimiz ve Anlamları 
 
 
V 
Vırvırık";i̇shal olmak
Vırccık;vıcık
Vırccığı çıkmak;vıcık olma durumu i̇çi dışına çıkmak
Viiy;aman tanrım
"Y 
Yaalık";mendil
Yalbıdak;çıplak
Yaldır cıplak;yarı çıplak
Yalyanak;çıplak ayaklı yalın ayak
Yannık;ayran yapmaya yarayan alet
Yarlık;önlük
Yavan;çirkin
Yazalamak;yüzeye yaymak
Yazlık;dam
Yekinmek;kalkıp fırlamak
Yemeni;deriden yapılmış ayakkabı
Yenice;yeni ekilmiş bağ
Yenlice;hafif
Yıllık bırakmak;hafif acı bırakmak
Yırak;uzak
Yumak;yıkamak
Yunmak;banyo yapmak
Yörep;dağ yamacı
Yukalmak;i̇nceleşmek
Yeyken;para
"Yöresel Kelimelerimiz ve Anlamları 
 
 
Z 
Zahter";kekik
Zahvur;kurutulmuş sarı çiçek
Zanbırlamak;kızmak öfkelenmek
Zembil;lastikten yapılmış sepet
Zevzir;küçük siyah renkli göçmen kuş
Zırza;kapı sürgüsü
Zibil;hayvan gübresi
Zogumlemek;sinirlenmek
Zongurtulu;öfkeli kızgın
Zubun;kadınların giydiği boydan elbise
Zatene;zaten
Zaar;herhalde
Zıllımak;oyun bozanlık yapmak
Zırtto;yaramaz çocuk
Zırlamak;bağırmak
Zırrık;deli mecnun
Zumzuk;yumruk
